Category,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
心理領域,心理學,"🦡心理学上有个词叫：蜜獾效应｜你越是不怕失去，世界越拿你没办法 
视频简介（中英文双语） 简介（中文）： 在这个看似和平，实则暗潮汹涌的世界里，你越是在意、越是害怕失去，就越容易被 ...",心理学上有个词叫 蜜獾效应 你越是不怕失去 世界越拿你没办法 视频简介 中英文双语 简介 中文 在这个看似和平 实则暗潮汹涌的世界里 你越是在意 越是害怕失去 就越容易被,心理學上有個詞叫 蜜獾效應 你越是不怕失去 世界越拿你沒辦法 視頻簡介 中英文雙語 簡介 中文 在這個看似和平 實則暗潮洶湧的世界裏 你越是在意 越是害怕失去 就越容易被,11,11_期待_快樂_過度_不良
心理領域,心理學,"第一句話就讓人聽喜歡聽下去！高情商說話技巧！非暴力溝通的心理學【人際心理學】| 維思維 
想學好英文，但面對開口說英文的障礙？試看看： #speaker 專屬下載連結➡️ https://bit.ly/TW_25Q3_WeisWay #溝通心理學#高 ...",第一句話就讓人聽喜歡聽下去 高情商說話技巧 非暴力溝通的心理學 人際心理學 維思維 想學好英文 但面對開口說英文的障礙 試看看 speaker 專屬下載連結 溝通心理學 高,第一句話就讓人聽喜歡聽下去 高情商說話技巧 非暴力溝通的心理學 人際心理學 維思維 想學好英文 但面對開口說英文的障礙 試看看 speaker 專屬下載連結 溝通心理學 高,14,14_分手_朋友_心靈氣_泡水
心理領域,心理學,"這不是童話，是一趟心理自救！憂鬱和心理諮商的真相《蛤蟆先生去看心理師》EP1｜自繪動畫版｜心理學分析| 維思維 
如果你也準備旅行，可以試試Saily，出國旅行真的不能沒網路！ 下載Saily 應用程式或前往https://saily.com/weisway 立即使用優惠 ...",這不是童話 是一趟心理自救 憂鬱和心理諮商的真相 蛤蟆先生去看心理師 EP1 自繪動畫版 心理學分析 維思維 如果你也準備旅行 可以試試Saily 出國旅行真的不能沒網路 下載Saily 應用程式或前往 立即使用優惠,這不是童話 是一趟心理自救 憂鬱和心理諮商的真相 蛤蟆先生去看心理師 EP1 自繪動畫版 心理學分析 維思維 如果你也準備旅行 可以試試Saily 出國旅行真的不能沒網路 下載Saily 應用程式或前往 立即使用優惠,4,4_使用_網站_10_感覺
心理領域,心理學,"知らないと損する恋愛雑学　#恋愛 #心理学 #恋愛あるある 
アラフォー・アラフィフ世代でも出会いが欲しい！」とお悩みの男性へ。 女性から追われる男性だけが知っている戦略 再効率で ...",知らないと損する恋愛雑学 恋愛 心理学 恋愛あるある アラフォー・アラフィフ世代でも出会いが欲しい とお悩みの男性へ 女性から追われる男性だけが知っている戦略 再効率で,愛瑣事 如果您不知道愛心理學愛是40多歲和40多歲的男人 那些擔心想要滿足只有被女性追捕的男人知道的人 並以重新效率的男人所知的人的策略 那你會失去的,26,26_男人_多歲_40_知道
心理領域,心理學,"做能力所及的事！掌握財務安全感，才能安心過生活｜哇賽心觀點x郝聲音（ft.郝旭烈） 
有兩種宗教不能信，一個是比較，一個是計較。」 「思維對了財務工具如虎添翼，思維偏的話就形同虛設。」 「當你資源匱乏時， ...",做能力所及的事 掌握財務安全感 才能安心過生活 哇賽心觀點x郝聲音 ft 郝旭烈 有兩種宗教不能信 一個是比較 一個是計較 思維對了財務工具如虎添翼 思維偏的話就形同虛設 當你資源匱乏時,做能力所及的事 掌握財務安全感 才能安心過生活 哇賽心觀點x郝聲音 ft 郝旭烈 有兩種宗教不能信 一個是比較 一個是計較 思維對了財務工具如虎添翼 思維偏的話就形同虛設 當你資源匱乏時,21,21_錢_金錢_正在_公益
心理領域,心理學,"直播課『用心理學來養生』！ 
電腦端點擊鏈接、加入松明老師頻道會員、即可看課https://www.youtube.com/channel/UCHNDk7584Q5g7RQCAFj7RFA/join #初級 ...",直播課 用心理學來養生 電腦端點擊鏈接 加入松明老師頻道會員 即可看課 初級,直播課 用心理學來養生 電腦端點擊鏈接 加入松明老師頻道會員 即可看課 初級,4,4_使用_網站_10_感覺
心理領域,心理學,"心理學揭秘：不懂這3大心理學秘密，再靠譜的貴人也會離你而去 
歡迎訂閱我們的頻道： https://www.youtube.com/@Reading_Wisdom.",心理學揭秘 不懂這3大心理學秘密 再靠譜的貴人也會離你而去 歡迎訂閱我們的頻道,心理學揭祕 不懂這3大心理學祕密 再靠譜的貴人也會離你而去 歡迎訂閱我們的頻道,2,2_覺醒_三個_也_3
心理領域,心理學,"心理学が証明した！50代女性を圧倒的に惹きつける男の３つの条件！ 
期間限定・無料プレゼント！ ＼50代から始める大人の恋愛実践ガイド／ 【大人の恋愛心理学・公式LINE】 ...",心理学が証明した 50代女性を圧倒的に惹きつける男の3つの条件 期間限定・無料プレゼント 50代から始める大人の恋愛実践ガイド 大人の恋愛心理学・公式LINE,心理學證明瞭三個條件的男性 這些男性將在50年代限時吸引女性 免費禮物 這是成年人的實踐愛指南,2,2_覺醒_三個_也_3
心理領域,心理學,"看完這個，羞恥將再也無法控制你! -卡爾·榮格 #心理學 #自我覺察 #羞恥感 #心靈自由 #成長 #潛意識 
羞恥不僅是一種情緒，更是一種無形的枷鎖。它潛藏於語言、動作與內心的聲音之中，讓人不自覺地壓抑真實的自我。當你意識到這 ...",看完這個 羞恥將再也無法控制你 卡爾 榮格 心理學 自我覺察 羞恥感 心靈自由 成長 潛意識 羞恥不僅是一種情緒 更是一種無形的枷鎖 它潛藏於語言 動作與內心的聲音之中 讓人不自覺地壓抑真實的自我 當你意識到這,看完這個 羞恥將再也無法控制你 卡爾 榮格 心理學 自我覺察 羞恥感 心靈自由 成長 潛意識 羞恥不僅是一種情緒 更是一種無形的枷鎖 它潛藏於語言 動作與內心的聲音之中 讓人不自覺地壓抑真實的自我 當你意識到這,25,25_榮格_卡爾_靈魂_而是
心理領域,心理學,"日常行为习惯识别性格特征 #知识播种计划 #做你的情绪良药 #阿豆心理学 #心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",日常行为习惯识别性格特征 知识播种计划 做你的情绪良药 阿豆心理学 心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,日常行爲習慣識別性格特徵 知識播種計劃 做你的情緒良藥 阿豆心理學 心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,27,27_窩_來_歡迎_奇妙
